Column,Timestamp,Question 1: In which institution are you based?,Question 2: Which of the following roles apply to you? 1,Question 2: Which of the following roles apply to you? 2,Question 2: Which of the following roles apply to you? 3,Question 2: Which of the following roles apply to you? 4,Question 2: Which of the following roles apply to you? 5,Question 3: Which of the following disciplines best applies to your work?,Question 4: Which funder currently provides the majority of your funding?,Question 5: How many years have you worked in research?,Question 6: Do you use research software?,Question 7: What would happen if you could no longer use research software?,Question 8: Do you develop your own research software?,Question 9: Have you received any training in software development?,Question 10: Have you ever included costs for software development in a funding proposal?,Question 11: Please provide the name(s) of the main research software you use.,Question 11: all data,Extra question 1: What is your job title?,Extra question 2: What is your gender?,Extra question 3: Are you employed on a permanent or fixed-term contract,Extra question 4: What is your preferred Operating System?,Q11_valid_data
,,,,,,,,,,,,,,,,, comsol,,,,,
,,,,,,,,,,,,,,,,,,,,,,
303,10/21/2014 10:55:45,university of liverpool,I conduct research, I manage researchers or research projects, I develop software for researchers,,,Engineering & technology,university central funds,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books","No, but we expected to develop software as part of the project","Fortran 95 - This is used to develop CFD  codes for my , my researchers work. The codes are developed to solve specific research problems where there are currently no commercial codes available.   ",fortran,lecturer,Male,Permanent,Microsoft Windows,True
,,,,,,,,,,,,,,,,,,,,,,
304,10/21/2014 10:57:13,university of birmingham,I conduct research, I support researchers, I manage researchers or research projects,Other,,Social studies,university central funds,6-10 years,Yes,It would not be practical to conduct my work without software,No,Yes - self taught using online resources or books,Yes,,,lecturer,Male,Permanent,Microsoft Windows,False
305,10/21/2014 11:04:41,university of leeds,I conduct research, I manage researchers or research projects, I develop software for researchers,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,15-20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","National Instruments LabVIEW, Python, LaTeX, Origin",national instruments labview,lecturer,Male,Permanent,Don't have a preference,True
,,,,,,,,,,,,,,,,, python,,,,,
,,,,,,,,,,,,,,,,, latex,,,,,
,,,,,,,,,,,,,,,,, origin,,,,,
306,10/21/2014 11:07:00,queen's university belfast,I conduct research, I manage researchers or research projects,,,,Engineering & technology,european union,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,"No, but we expected to develop software as part of the project",,,lecturer,Male,Permanent,Linux,False
307,10/21/2014 11:10:39,university of birmingham,I conduct research, I manage researchers or research projects,,,,Engineering & technology,european union,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing,Matlab,matlab,research fellow,Male,Fixed term,Microsoft Windows,True
309,10/21/2014 11:12:28,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",european union,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,I'm not involved in bid writing,"python, numpy, heidelberg mctdh package, mathematica", python,postdoctoral researcher,Male,Fixed term,Linux,True
,,,,,,,,,,,,,,,,, python,,,,,
,,,,,,,,,,,,,,,,, heidelberg mctdh package,,,,,
,,,,,,,,,,,,,,,,, mathematica,,,,,
310,10/21/2014 11:12:53,university of birmingham,I conduct research, I develop software for researchers,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,Yes,"MCTDH , Gaussian, Molpro, WebMO",mctdh ,professor,Male,Permanent,Linux,True
,,,,,,,,,,,,,,,,, gaussian,,,,,
,,,,,,,,,,,,,,,,, molpro,,,,,
,,,,,,,,,,,,,,,,, webmo,,,,,
311,10/21/2014 11:21:15,queen mary university of london,I conduct research, I support researchers, I manage researchers or research projects,,,Humanities & language based studies & archaeology,european union,More than 20 years,No,It would make no significant difference to my work,No,Yes - self taught using online resources or books,No,,,professor,Male,Permanent,Microsoft Windows,False
312,10/21/2014 11:32:12,university of leeds,I conduct research, I develop software for researchers,,,,"Biological, mathematical & physical sciences",university central funds,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,Yes,"The statistical language R, its contributed packages, , software in R that I have written myself.",r,professor,Male,Permanent,Linux,True
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,r,,,,,
313,10/21/2014 11:32:52,university of liverpool,I conduct research, I manage researchers or research projects,,,,Social studies,esrc - economic and social research council,15-20 years,Yes,It would not be practical to conduct my work without software,Yes,No,No,"EPrime, PsyScope, SPSS, R, Psychopy, OpenSesame", eprime,lecturer,Female,Permanent,Don't have a preference,True
,,,,,,,,,,,,,,,,, psyscope,,,,,
,,,,,,,,,,,,,,,,,spss,,,,,
,,,,,,,,,,,,,,,,,r,,,,,
,,,,,,,,,,,,,,,,,psychopy,,,,,
,,,,,,,,,,,,,,,,, opensesame,,,,,
314,10/21/2014 11:35:32,queen mary university of london,I conduct research,,,,,"Biological, mathematical & physical sciences",bbsrc - biotechnology and biological sciences research council,1-5 years,No,It would make no significant difference to my work,No,Yes - self taught using online resources or books,No,,,phd student,Female,Fixed term,Microsoft Windows,False
315,10/21/2014 11:37:20,university of bristol,I conduct research, I manage researchers or research projects,,,,"Agriculture, forestry & veterinary science","other foundation, society or charity",11-15 years,Yes,It would not be practical to conduct my work without software,Yes,No,No,"R,SPSS",r,research fellow,Female,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,,spss,,,,,
316,10/21/2014 11:38:37,university of glasgow,I conduct research,,,,,Engineering & technology,epsrc - engineering and physical sciences research council,6-10 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,"GARAND, XmGrace, Paraview,Assimptote,Python",garand,postdoctoral researcher,Male,Fixed term,Linux,True
,,,,,,,,,,,,,,,,, xmgrace,,,,,
,,,,,,,,,,,,,,,,, paraview,,,,,
,,,,,,,,,,,,,,,,,assimptote,,,,,
,,,,,,,,,,,,,,,,, python,,,,,
317,10/21/2014 11:40:03,university of liverpool,I conduct research,,,,,"Agriculture, forestry & veterinary science","other foundation, society or charity",1-5 years,Yes,It would not be practical to conduct my work without software,Yes,No,No,"Excel, STATA, LaTeX", microsoft excel,phd student,Male,Fixed term,Mac OS X,True
,,,,,,,,,,,,,,,,, stata,,,,,
,,,,,,,,,,,,,,,,, latex,,,,,
318,10/21/2014 11:40:05,university of birmingham,I conduct research, I develop software for researchers,,,,Social studies,no answer,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",No,Python, python,lecturer,Male,Permanent,Linux,True
319,10/21/2014 11:43:07,university of glasgow,I support researchers,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,No,It would make no significant difference to my work,No,No,Yes,,,other,Female,Fixed term,Microsoft Windows,False
320,10/21/2014 11:45:24,queen's university belfast,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,15-20 years,Yes,It would not be practical to conduct my work without software,No,No,Yes,"Chemical modelling / drawing  software:,Gaussian,Chem Office,Accelyrs Draw,Spinworks NMR,instrument specific software for driving various spectrometers / processing data as well.",,lecturer,Male,Permanent,Mac OS X,True
,,,,,,,,,,,,,,,,, gaussian,,,,,
,,,,,,,,,,,,,,,,,chem office,,,,,
,,,,,,,,,,,,,,,,,accelyrs draw,,,,,
,,,,,,,,,,,,,,,,,spinworks nmr,,,,,
,,,,,,,,,,,,,,,,,,,,,,
321,10/21/2014 11:52:36,university of bristol,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,No,"No, but we expected to develop software as part of the project","Bespoke internal software such as VFP,Commercial software in beta phase such as Kinect SDK's etc,St,ard tools such as Matlab, Visual Studio etc",vfp,lecturer,Male,Permanent,Microsoft Windows,True
,,,,,,,,,,,,,,,,,kinect,,,,,
,,,,,,,,,,,,,,,,, st,,,,,
,,,,,,,,,,,,,,,,,matlab,,,,,
,,,,,,,,,,,,,,,,, visual studio,,,,,
322,10/21/2014 11:53:35,university of bristol,I conduct research,,,,,"Biological, mathematical & physical sciences",esrc - economic and social research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,"R,Presentation ,Python,Psychopy,bash",r,phd student,Female,Fixed term,Linux,True
,,,,,,,,,,,,,,,,,presentation,,,,,
,,,,,,,,,,,,,,,,, python,,,,,
,,,,,,,,,,,,,,,,,psychopy,,,,,
,,,,,,,,,,,,,,,,, bash,,,,,
323,10/21/2014 11:55:30,university of bristol,I conduct research,,,,,"Biological, mathematical & physical sciences",bbsrc - biotechnology and biological sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,"R, VBA, algorithms written in a range of coding languages",r,phd student,Female,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,, vba,,,,,
,,,,,,,,,,,,,,,,,,,,,,
325,10/21/2014 12:17:38,queen mary university of london,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,Administrative & business studies,don't know,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,"No, but we expected to develop software as part of the project","SPSS, NVivo, MS Excel, Chorus Analytics, Qualtrics, Survey Monkey, TweetDeck, Graphviz, NodeXL ",spss,lecturer,Male,Permanent,Mac OS X,True
,,,,,,,,,,,,,,,,,nvivo,,,,,
,,,,,,,,,,,,,,,,, microsoft excel,,,,,
,,,,,,,,,,,,,,,,, chorus analytics,,,,,
,,,,,,,,,,,,,,,,, qualtrics,,,,,
,,,,,,,,,,,,,,,,, survey monkey,,,,,
,,,,,,,,,,,,,,,,, tweetdeck,,,,,
,,,,,,,,,,,,,,,,, graphviz,,,,,
,,,,,,,,,,,,,,,,, nodexl ,,,,,
326,10/21/2014 12:17:47,university of liverpool,I conduct research, I manage researchers or research projects, I develop software for researchers,,,Engineering & technology,university central funds,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,Yes,"openCossan,Matlab,",opencossan,other,Male,Permanent,Linux,True
,,,,,,,,,,,,,,,,,matlab,,,,,
,,,,,,,,,,,,,,,,,,,,,,
327,10/21/2014 12:24:10,queen's university belfast,I conduct research, I develop software for researchers,,,,Administrative & business studies,university central funds,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",No,,,lecturer,Male,Permanent,Microsoft Windows,False
328,10/21/2014 12:30:59,university of leeds,I conduct research,,,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing,"Fortran 77-90, Matlab, GMT", fortran,phd student,Male,Fixed term,Linux,True
,,,,,,,,,,,,,,,,,matlab,,,,,
,,,,,,,,,,,,,,,,, gmt,,,,,
329,10/21/2014 12:36:02,university of bristol,I conduct research,,,,,"Medicine, dentistry & health",mrc - medical research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",Yes,"Stata, R, Mathematica, SAS, winbugs, mlwin", stata,research fellow,Female,Permanent,Microsoft Windows,True
,,,,,,,,,,,,,,,,,r,,,,,
,,,,,,,,,,,,,,,,, mathematica,,,,,
,,,,,,,,,,,,,,,,,sas,,,,,
,,,,,,,,,,,,,,,,, winbugs,,,,,
,,,,,,,,,,,,,,,,, mlwin,,,,,
330,10/21/2014 12:39:06,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",mixed funding,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,I'm not involved in bid writing,,,phd student,Male,Fixed term,Linux,False
331,10/21/2014 12:45:43,university of nottingham,I conduct research,,,,,Humanities & language based studies & archaeology,ahrc - arts and humanities research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,,,phd student,Female,Permanent,Microsoft Windows,False
332,10/21/2014 12:50:25,university of leeds,I conduct research,,,,,"Biological, mathematical & physical sciences",stfc - science and technology facilities council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",No,"IDL, python", idl,phd student,Male,Fixed term,Linux,True
,,,,,,,,,,,,,,,,, python,,,,,
333,10/21/2014 12:51:44,queen mary university of london,I conduct research,,,,,Social studies,don't know,Less than a year,Yes,"My work would require more effort, but it would still be possible",No,No,No,,,,Female,Fixed term,Don't have a preference,False
334,10/21/2014 12:58:38,university of leeds,I conduct research, I manage researchers or research projects,,,,"Medicine, dentistry & health",nih,More than 20 years,Yes,It would not be practical to conduct my work without software,No,No,No,"Too numerous to list,",,professor,Male,Permanent,Mac OS X,True
,,,,,,,,,,,,,,,,,,,,,,
335,10/21/2014 13:01:57,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",european union,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,I'm not involved in bid writing,"VASP, Comsol Multiphysics, Matlab, Scipy & Matplotlib , TeXnicCenter, Qiqqa ", vasp,postdoctoral researcher,Male,Fixed term,Linux,True
,,,,,,,,,,,,,,,,, comsol multiphysics,,,,,
,,,,,,,,,,,,,,,,,matlab,,,,,
,,,,,,,,,,,,,,,,,python,,,,,
,,,,,,,,,,,,,,,,, texniccenter,,,,,
,,,,,,,,,,,,,,,,, qiqqa ,,,,,
336,10/21/2014 13:03:50,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences","other foundation, society or charity",More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,Yes,"Plato, Abinit, Gaussian",plato,reader,Male,Permanent,Mac OS X,True
,,,,,,,,,,,,,,,,, abinit,,,,,
,,,,,,,,,,,,,,,,, gaussian,,,,,
337,10/21/2014 13:06:07,university of glasgow,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,15-20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,"No, but we expected to develop software as part of the project","CPLEX, Gurobi, COIN-OR, LEDA, Matlab, R, LEMON, kidney.optimalmatching.com, toolkit.optimalmatching.com,", cplex,lecturer,Male,Permanent,Microsoft Windows,True
,,,,,,,,,,,,,,,,, gurobi,,,,,
,,,,,,,,,,,,,,,,, coin-or,,,,,
,,,,,,,,,,,,,,,,, leda,,,,,
,,,,,,,,,,,,,,,,,matlab,,,,,
,,,,,,,,,,,,,,,,,r,,,,,
,,,,,,,,,,,,,,,,, lemon,,,,,
,,,,,,,,,,,,,,,,, kidney.optimalmatching.com,,,,,
,,,,,,,,,,,,,,,,, toolkit.optimalmatching.com,,,,,
,,,,,,,,,,,,,,,,,,,,,,
338,10/21/2014 13:06:56,university of bristol,I conduct research,,,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,"Open Exchange, written by myself ",open exchange,phd student,Male,Prefer not to say,Linux,True
,,,,,,,,,,,,,,,,,,,,,,
339,10/21/2014 13:18:50,university of liverpool,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,"Biological, mathematical & physical sciences",nerc - natural environment research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing,"R,Matlab,Cytoscape,GSEA,ARACNE,",r,postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,,matlab,,,,,
,,,,,,,,,,,,,,,,, cytoscape,,,,,
,,,,,,,,,,,,,,,,,gsea,,,,,
,,,,,,,,,,,,,,,,,aracne,,,,,
,,,,,,,,,,,,,,,,,,,,,,
340,10/21/2014 13:20:49,queen mary university of london,I conduct research,,,,,"Biological, mathematical & physical sciences",university central funds,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing,"R, Eclipse, St, Visualisation System, ",r,phd student,Female,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,, eclipse,,,,,
,,,,,,,,,,,,,,,,, st,,,,,
,,,,,,,,,,,,,,,,, visualisation system,,,,,
,,,,,,,,,,,,,,,,,,,,,,
341,10/21/2014 13:23:39,university of leeds,I conduct research, I support researchers,,,,Social studies,university central funds,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,I'm not involved in bid writing,,,phd student,Male,Prefer not to say,Mac OS X,False
342,10/21/2014 13:24:20,university of glasgow,I conduct research,,,,,Social studies,esrc - economic and social research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,NVivo,nvivo,postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
343,10/21/2014 13:39:13,university of sheffield,I conduct research,,,,,Social studies,university central funds,1-5 years,Yes,It would not be practical to conduct my work without software,No,"Yes - a taught course, Yes - self taught using online resources or books",No,"SPSS, R, Qualtrics",spss,lecturer,Female,Permanent,Microsoft Windows,True
,,,,,,,,,,,,,,,,,r,,,,,
,,,,,,,,,,,,,,,,, qualtrics,,,,,
344,10/21/2014 13:44:17,university of glasgow,I conduct research,,,,,"Biological, mathematical & physical sciences",industry,More than 20 years,No,It would make no significant difference to my work,No,Yes - a taught course,No,,,research fellow,Male,Fixed term,Microsoft Windows,False
345,10/21/2014 13:45:21,university of bristol,I conduct research,,,,,"Biological, mathematical & physical sciences",wellcome trust,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,"imageJ, excel, ", imagej,postdoctoral researcher,Female,Permanent,Mac OS X,True
,,,,,,,,,,,,,,,,, microsoft excel,,,,,
,,,,,,,,,,,,,,,,,,,,,,
346,10/21/2014 13:46:50,university of bristol,I conduct research, I support researchers,,,,"Medicine, dentistry & health",wellcome trust,15-20 years,No,It would make no significant difference to my work,No,No,I'm not involved in bid writing,,,postdoctoral researcher,Female,Permanent,Microsoft Windows,False
347,10/21/2014 13:50:08,university of glasgow,I conduct research,,,,,Social studies,esrc - economic and social research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,,,postdoctoral researcher,Female,Fixed term,Microsoft Windows,False
348,10/21/2014 14:06:06,university of bristol,I conduct research,,,,,"Biological, mathematical & physical sciences",don't know,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,No,No,"Papers3, R, TNT, MrBayes, RAxML, Mesquite.",papers3,phd student,Male,Fixed term,Mac OS X,True
,,,,,,,,,,,,,,,,,r,,,,,
,,,,,,,,,,,,,,,,, tnt,,,,,
,,,,,,,,,,,,,,,,, mrbayes,,,,,
,,,,,,,,,,,,,,,,, raxml,,,,,
,,,,,,,,,,,,,,,,, mesquite,,,,,
349,10/21/2014 14:07:17,university of liverpool,I conduct research,,,,,"Medicine, dentistry & health",wellcome trust,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,No,"stata, graphpad, excel, cardiff teleform", stata,postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,, graphpad,,,,,
,,,,,,,,,,,,,,,,, microsoft excel,,,,,
,,,,,,,,,,,,,,,,, cardiff teleform,,,,,
350,10/21/2014 14:09:08,imperial college london,I conduct research,,,,,Engineering & technology,"other foundation, society or charity",6-10 years,Yes,It would not be practical to conduct my work without software,No,No,Yes,"OPUS, Microsoft office 2010, Mathlab",opus,postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,,microsoft office,,,,,
,,,,,,,,,,,,,,,,,matlab,,,,,
351,10/21/2014 14:11:28,imperial college london,I conduct research, I support researchers,,,,Engineering & technology,industry,6-10 years,Yes,"My work would require more effort, but it would still be possible",No,Yes - a taught course,No,Nemrodw,nemrodw,postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
352,10/21/2014 14:11:37,university of bristol,I conduct research,,,,,"Agriculture, forestry & veterinary science",university central funds,6-10 years,Yes,It would not be practical to conduct my work without software,No,No,No,"SPSS, NVivo",spss,other,Female,Permanent,Microsoft Windows,True
,,,,,,,,,,,,,,,,,nvivo,,,,,
353,10/21/2014 14:11:42,queen mary university of london,I conduct research, I support researchers,,,,Humanities & language based studies & archaeology,university central funds,More than 20 years,No,It would make no significant difference to my work,No,No,No,,,professor,Male,Permanent,Microsoft Windows,False
354,10/21/2014 14:15:10,university of sheffield,I conduct research,,,,,"Biological, mathematical & physical sciences",mrc - medical research council,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,"FIJI, A plasmid editor. ",fiji,phd student,Female,Prefer not to say,Don't have a preference,True
,,,,,,,,,,,,,,,,, a plasmid editor,,,,,
355,10/21/2014 14:15:21,university of liverpool,I support researchers,Other,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,More than 20 years,No,It would make no significant difference to my work,No,Yes - a taught course,I'm not involved in bid writing,,,technician,Male,Permanent,Don't have a preference,False
356,10/21/2014 14:21:04,queen mary university of london,I conduct research, I support researchers, I manage researchers or research projects,,,Social studies,esrc - economic and social research council,More than 20 years,Yes,It would not be practical to conduct my work without software,No,No,No,"SPSS, NVivo",spss,professor,Female,Permanent,Microsoft Windows,True
,,,,,,,,,,,,,,,,,nvivo,,,,,
357,10/21/2014 14:22:47,university of nottingham,I conduct research,,,,,"Biological, mathematical & physical sciences",bbsrc - biotechnology and biological sciences research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,"GenSAT,Leica LF AF,IMARIS",gensat,research fellow,Female,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,,leica lf af,,,,,
,,,,,,,,,,,,,,,,,imaris,,,,,
358,10/21/2014 14:31:41,university of sheffield,I conduct research, I support researchers, I manage researchers or research projects,,,"Medicine, dentistry & health",mrc - medical research council,15-20 years,Yes,It would not be practical to conduct my work without software,Yes,No,"No, but we expected to develop software as part of the project","Statistical Parametric Mapping ,MatLab,LabView,Python,Presentation,",statistical parametric mapping ,lecturer,Male,Permanent,Microsoft Windows,True
,,,,,,,,,,,,,,,,,matlab,,,,,
,,,,,,,,,,,,,,,,,labview,,,,,
,,,,,,,,,,,,,,,,, python,,,,,
,,,,,,,,,,,,,,,,,presentation,,,,,
,,,,,,,,,,,,,,,,,,,,,,
359,10/21/2014 14:36:07,university of nottingham,I conduct research,,,,,"Biological, mathematical & physical sciences",european union,6-10 years,Yes,"My work would require more effort, but it would still be possible",Yes,No,No,"Matlab, Igor Pro, Maple, Comsol, SolidWorks, Altium, Python, C/C++",matlab,research fellow,Male,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,,igor pro,,,,,
,,,,,,,,,,,,,,,,, maple,,,,,
,,,,,,,,,,,,,,,,, comsol,,,,,
,,,,,,,,,,,,,,,,, solidworks,,,,,
,,,,,,,,,,,,,,,,, altium,,,,,
,,,,,,,,,,,,,,,,, python,,,,,
,,,,,,,,,,,,,,,,, c,,,,,
360,10/21/2014 14:38:29,university of bristol,I conduct research,,,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",No,"R, samtools, MEGA, ",r,phd student,,,no response,True
,,,,,,,,,,,,,,,,, samtools,,,,,
,,,,,,,,,,,,,,,,, mega,,,,,
,,,,,,,,,,,,,,,,,,,,,,
361,10/21/2014 14:41:37,university of bristol,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",bbsrc - biotechnology and biological sciences research council,11-15 years,Yes,"My work would require more effort, but it would still be possible",No,Yes - self taught using online resources or books,No,"MATLAB,SigmaPlot,VectorNTI",matlab,lecturer,Male,Permanent,Mac OS X,True
,,,,,,,,,,,,,,,,,sigmaplot,,,,,
,,,,,,,,,,,,,,,,,vectornti,,,,,
362,10/21/2014 14:46:05,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project",,,phd student,Male,Fixed term,Microsoft Windows,False
363,10/21/2014 14:47:50,university of sheffield,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences","other foundation, society or charity",More than 20 years,Yes,It would not be practical to conduct my work without software,No,No,Yes,"Prism,Lasergene", prism,reader,Male,Permanent,Mac OS X,True
,,,,,,,,,,,,,,,,, lasergene,,,,,
364,10/21/2014 15:00:22,queen mary university of london,I conduct research, I support researchers, I manage researchers or research projects,,,"Biological, mathematical & physical sciences",university central funds,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",No,"Matlab, Minitab, Origin, Excel, Creo, GraphPad Prism, ImageJ, PCR machine software, western blot reader software.",matlab,postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,, minitab,,,,,
,,,,,,,,,,,,,,,,, origin,,,,,
,,,,,,,,,,,,,,,,, microsoft excel,,,,,
,,,,,,,,,,,,,,,,, creo,,,,,
,,,,,,,,,,,,,,,,,graphpad prism,,,,,
,,,,,,,,,,,,,,,,, imagej,,,,,
,,,,,,,,,,,,,,,,, pcr machine software,,,,,
,,,,,,,,,,,,,,,,, western blot reader software,,,,,
365,10/21/2014 15:01:27,queen mary university of london,I conduct research,,,,,Social studies,esrc - economic and social research council,6-10 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,"spss, R, genstat, minitab",spss,phd student,Female,Fixed term,Mac OS X,True
,,,,,,,,,,,,,,,,,r,,,,,
,,,,,,,,,,,,,,,,, genstat,,,,,
,,,,,,,,,,,,,,,,, minitab,,,,,
366,10/21/2014 15:15:10,queen's university belfast,I conduct research,,,,,"Biological, mathematical & physical sciences",mrc - medical research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,No,"Matlab, SPSS",matlab,lecturer,Male,Permanent,Microsoft Windows,True
,,,,,,,,,,,,,,,,,spss,,,,,
367,10/21/2014 15:21:15,university of bristol,I conduct research,,,,,"Biological, mathematical & physical sciences",mrc - medical research council,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,"Prism, Canvas, Word, Volocity, Leica AF", prism,postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,, canvas,,,,,
,,,,,,,,,,,,,,,,,microsoft word,,,,,
,,,,,,,,,,,,,,,,, volocity,,,,,
,,,,,,,,,,,,,,,,, leica af,,,,,
368,10/21/2014 15:26:44,queen's university belfast,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,"Medicine, dentistry & health",nih,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,"No, but we expected to develop software as part of the project","Multiple for analysis of GWAS , NGS data",gwas ,lecturer,Female,Permanent,Linux,True
,,,,,,,,,,,,,,,,, ngs data,,,,,
369,10/21/2014 15:26:53,university of nottingham,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,Yes,TexGen,texgen,research fellow,Female,Permanent,Microsoft Windows,True
370,10/21/2014 15:32:10,university of nottingham,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,"Medicine, dentistry & health",mrc - medical research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,"Matlab,Presentation,PsychoPy,SPSS,R,EEGlab,BESA,BESA statistics,SPM,",matlab,phd student,Female,Fixed term,Mac OS X,True
,,,,,,,,,,,,,,,,,presentation,,,,,
